Property name,No. BRs,No. Beds,No. Baths,No. Guests allowed,Nightly Rate,Cleaning Fee,Rating,No. Reviews,Superhost Status (1 / 0),Amenities,Pets (1 / 0),Property Type,Location,Location Rating,Price_per_Guest,Link,Season
Sample Property 4893,1,3,1.0,4,175.57,99.58,4.59,119,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Tumalo State Park, Bend, OR",4.9,43.89,https://www.airbnb.com/rooms/sample_27049,Shoulder
Sample Property 5008,3,5,2.0,6,181.64,170.44,4.82,138,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Southwest Bend, Bend, OR",4.8,30.27,https://www.airbnb.com/rooms/sample_43443,Off-Peak
Sample Property 5780,2,3,1.0,6,176.33,124.4,4.18,44,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Old Bend, Bend, OR",4.6,29.39,https://www.airbnb.com/rooms/sample_26947,Shoulder
Sample Property 7003,3,5,2.0,7,220.41,147.94,3.57,106,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Summit West, Bend, OR",4.8,31.49,https://www.airbnb.com/rooms/sample_42240,Shoulder
Sample Property 6255,1,1,1.0,4,95.37,105.13,4.14,294,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Larkspur, Bend, OR",4.0,23.84,https://www.airbnb.com/rooms/sample_89792,Off-Peak
Sample Property 1990,4,4,4.0,10,397.02,193.9,4.4,63,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Larkspur, Bend, OR",4.5,39.7,https://www.airbnb.com/rooms/sample_56234,Peak
Sample Property 6944,4,5,4.0,8,237.39,192.39,3.86,93,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Summit West, Bend, OR",4.7,29.67,https://www.airbnb.com/rooms/sample_21840,Off-Peak
Sample Property 1383,1,2,1.0,3,145.22,100.31,4.32,238,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Larkspur, Bend, OR",4.3,48.41,https://www.airbnb.com/rooms/sample_47789,Shoulder
Sample Property 4046,4,4,3.0,9,261.98,216.18,4.67,206,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Tumalo State Park, Bend, OR",4.8,29.11,https://www.airbnb.com/rooms/sample_22868,Shoulder
Sample Property 9799,4,4,3.0,8,281.27,194.36,3.87,4,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Tumalo State Park, Bend, OR",4.8,35.16,https://www.airbnb.com/rooms/sample_2104,Shoulder
Sample Property 2205,3,5,3.0,8,174.68,166.17,4.56,37,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Tumalo State Park, Bend, OR",4.3,21.84,https://www.airbnb.com/rooms/sample_64287,Off-Peak
Sample Property 3964,3,3,2.0,8,212.17,167.56,4.68,290,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Tumalo State Park, Bend, OR",4.7,26.52,https://www.airbnb.com/rooms/sample_65207,Shoulder
Sample Property 1067,3,4,3.0,8,306.95,155.25,4.99,18,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Tumalo State Park, Bend, OR",4.4,38.37,https://www.airbnb.com/rooms/sample_84179,Peak
Sample Property 6780,3,4,2.0,8,299.75,192.2,4.97,245,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Larkspur, Bend, OR",4.5,37.47,https://www.airbnb.com/rooms/sample_53536,Peak
Sample Property 4716,3,3,2.0,8,166.17,168.4,3.58,58,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Southwest Bend, Bend, OR",4.6,20.77,https://www.airbnb.com/rooms/sample_95041,Off-Peak
Sample Property 5749,4,4,4.0,9,229.05,214.74,3.59,111,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Seventh Mountain, Bend, OR",4.5,25.45,https://www.airbnb.com/rooms/sample_34088,Off-Peak
Sample Property 9996,4,5,3.0,10,172.94,206.87,4.75,291,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Larkspur, Bend, OR",4.4,17.29,https://www.airbnb.com/rooms/sample_76950,Off-Peak
Sample Property 6866,4,4,3.0,9,408.63,212.61,3.82,44,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Seventh Mountain, Bend, OR",4.7,45.4,https://www.airbnb.com/rooms/sample_88152,Peak
Sample Property 8431,1,3,1.0,2,185.77,90.75,4.91,221,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Sunriver, OR",5.0,92.89,https://www.airbnb.com/rooms/sample_78769,Peak
Sample Property 3411,1,2,1.0,2,76.67,88.22,3.75,250,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Summit West, Bend, OR",4.1,38.34,https://www.airbnb.com/rooms/sample_45839,Off-Peak
Sample Property 1861,5,7,5.0,11,362.75,260.52,3.53,137,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Old Bend, Bend, OR",4.7,32.98,https://www.airbnb.com/rooms/sample_16352,Shoulder
Sample Property 8357,4,4,3.0,9,309.52,225.01,3.71,265,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Larkspur, Bend, OR",4.0,34.39,https://www.airbnb.com/rooms/sample_79676,Shoulder
Sample Property 6208,1,1,1.0,4,66.28,66.78,4.36,105,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Southwest Bend, Bend, OR",5.0,16.57,https://www.airbnb.com/rooms/sample_86056,Off-Peak
Sample Property 4109,4,5,4.0,8,418.95,227.04,4.76,248,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Sunriver, OR",4.4,52.37,https://www.airbnb.com/rooms/sample_35304,Peak
Sample Property 2881,5,5,5.0,10,288.08,266.26,4.8,131,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Tumalo State Park, Bend, OR",4.7,28.81,https://www.airbnb.com/rooms/sample_80358,Off-Peak
Sample Property 9597,4,4,3.0,10,301.34,205.7,4.41,199,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Larkspur, Bend, OR",4.8,30.13,https://www.airbnb.com/rooms/sample_91680,Shoulder
Sample Property 8869,3,4,3.0,8,350.39,186.28,4.98,126,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Larkspur, Bend, OR",4.9,43.8,https://www.airbnb.com/rooms/sample_19943,Peak
Sample Property 1336,4,4,4.0,10,207.05,204.67,3.73,272,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Sunriver, OR",4.9,20.71,https://www.airbnb.com/rooms/sample_77486,Off-Peak
Sample Property 1721,3,4,3.0,8,272.29,185.19,4.27,285,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Tumalo State Park, Bend, OR",4.4,34.04,https://www.airbnb.com/rooms/sample_33886,Shoulder
Sample Property 7771,2,2,2.0,4,262.63,125.93,4.51,179,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Seventh Mountain, Bend, OR",4.1,65.66,https://www.airbnb.com/rooms/sample_53665,Peak
Sample Property 4871,1,1,1.0,4,119.45,96.93,3.57,236,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Old Bend, Bend, OR",4.2,29.86,https://www.airbnb.com/rooms/sample_91457,Shoulder
Sample Property 9924,3,4,2.0,8,239.0,165.54,4.78,55,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Summit West, Bend, OR",4.7,29.88,https://www.airbnb.com/rooms/sample_90611,Shoulder
Sample Property 2874,1,1,1.0,4,155.34,79.97,4.46,272,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Summit West, Bend, OR",4.8,38.84,https://www.airbnb.com/rooms/sample_76919,Peak
Sample Property 2517,5,7,4.0,11,487.52,264.73,4.69,251,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Sunriver, OR",4.8,44.32,https://www.airbnb.com/rooms/sample_1962,Peak
Sample Property 7615,2,2,2.0,5,136.48,118.52,4.01,236,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Larkspur, Bend, OR",4.2,27.3,https://www.airbnb.com/rooms/sample_55806,Off-Peak
Sample Property 4354,2,2,1.0,5,159.52,126.53,3.58,270,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Summit West, Bend, OR",4.2,31.9,https://www.airbnb.com/rooms/sample_79535,Shoulder
Sample Property 7511,2,4,2.0,5,174.13,119.37,3.91,88,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Larkspur, Bend, OR",4.6,34.83,https://www.airbnb.com/rooms/sample_29524,Shoulder
Sample Property 9185,1,2,1.0,3,186.97,82.68,3.95,24,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Tumalo State Park, Bend, OR",4.5,62.32,https://www.airbnb.com/rooms/sample_35441,Peak
Sample Property 9383,3,5,3.0,8,345.28,182.72,4.85,241,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Sunriver, OR",4.1,43.16,https://www.airbnb.com/rooms/sample_4299,Peak
Sample Property 4932,5,5,4.0,10,337.87,247.52,3.84,58,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Tumalo State Park, Bend, OR",4.6,33.79,https://www.airbnb.com/rooms/sample_5899,Shoulder
Sample Property 9923,4,6,3.0,8,261.15,213.78,4.98,102,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Summit West, Bend, OR",4.1,32.64,https://www.airbnb.com/rooms/sample_1588,Shoulder
Sample Property 7837,1,1,1.0,3,113.47,92.21,4.85,208,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Tumalo State Park, Bend, OR",4.8,37.82,https://www.airbnb.com/rooms/sample_39614,Shoulder
Sample Property 5524,1,1,1.0,3,171.19,100.41,4.76,13,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Tumalo State Park, Bend, OR",4.4,57.06,https://www.airbnb.com/rooms/sample_75505,Peak
Sample Property 7049,5,7,4.0,11,232.16,242.41,3.55,4,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Tumalo State Park, Bend, OR",4.7,21.11,https://www.airbnb.com/rooms/sample_88210,Off-Peak
Sample Property 8566,4,4,4.0,9,405.59,202.38,4.42,238,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Seventh Mountain, Bend, OR",4.4,45.07,https://www.airbnb.com/rooms/sample_18020,Peak
Sample Property 2956,3,4,2.0,6,341.92,166.43,3.61,238,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Tumalo State Park, Bend, OR",4.0,56.99,https://www.airbnb.com/rooms/sample_96144,Peak
Sample Property 4854,4,4,3.0,8,286.8,203.69,4.6,200,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Sunriver, OR",4.9,35.85,https://www.airbnb.com/rooms/sample_33770,Shoulder
Sample Property 1422,5,5,4.0,12,230.61,249.11,4.6,170,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Seventh Mountain, Bend, OR",4.0,19.22,https://www.airbnb.com/rooms/sample_1658,Off-Peak
Sample Property 2447,5,6,4.0,10,248.09,245.27,4.32,228,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Southwest Bend, Bend, OR",4.6,24.81,https://www.airbnb.com/rooms/sample_3723,Off-Peak
Sample Property 1725,3,3,2.0,8,292.72,182.79,4.73,290,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Larkspur, Bend, OR",4.5,36.59,https://www.airbnb.com/rooms/sample_31722,Peak
Sample Property 2814,3,3,2.0,8,274.61,163.75,3.6,124,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Seventh Mountain, Bend, OR",4.5,34.33,https://www.airbnb.com/rooms/sample_77854,Peak
Sample Property 2048,1,2,1.0,4,73.19,87.75,4.49,115,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Old Bend, Bend, OR",4.2,18.3,https://www.airbnb.com/rooms/sample_50773,Off-Peak
Sample Property 7197,5,6,5.0,12,509.82,246.42,3.82,271,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Southwest Bend, Bend, OR",4.0,42.48,https://www.airbnb.com/rooms/sample_1882,Peak
Sample Property 5922,1,3,1.0,4,177.59,90.16,4.3,78,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Sunriver, OR",4.4,44.4,https://www.airbnb.com/rooms/sample_28203,Peak
Sample Property 7543,1,3,1.0,2,151.16,98.57,4.0,70,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Larkspur, Bend, OR",4.4,75.58,https://www.airbnb.com/rooms/sample_86211,Peak
Sample Property 8478,4,6,3.0,10,181.62,200.42,3.73,147,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Tumalo State Park, Bend, OR",4.4,18.16,https://www.airbnb.com/rooms/sample_69856,Off-Peak
Sample Property 2909,2,2,1.0,5,153.59,136.08,3.89,21,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Tumalo State Park, Bend, OR",4.1,30.72,https://www.airbnb.com/rooms/sample_97267,Shoulder
Sample Property 4121,3,4,2.0,8,312.87,158.71,4.1,125,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Southwest Bend, Bend, OR",4.0,39.11,https://www.airbnb.com/rooms/sample_44332,Peak
Sample Property 6308,2,2,1.0,4,184.6,141.15,4.46,94,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Sunriver, OR",4.4,46.15,https://www.airbnb.com/rooms/sample_90072,Shoulder
Sample Property 9532,1,2,1.0,2,121.83,86.08,4.67,94,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Southwest Bend, Bend, OR",4.2,60.91,https://www.airbnb.com/rooms/sample_94172,Shoulder
Sample Property 1011,5,6,5.0,11,393.01,254.51,3.73,282,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Sunriver, OR",4.7,35.73,https://www.airbnb.com/rooms/sample_48444,Shoulder
Sample Property 2015,4,5,3.0,8,174.0,217.57,4.62,41,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Tumalo State Park, Bend, OR",4.6,21.75,https://www.airbnb.com/rooms/sample_86484,Off-Peak
Sample Property 8240,2,4,2.0,4,98.11,146.94,4.2,200,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Sunriver, OR",4.8,24.53,https://www.airbnb.com/rooms/sample_72743,Off-Peak
Sample Property 6197,4,5,4.0,10,230.15,197.45,4.1,14,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Larkspur, Bend, OR",4.6,23.02,https://www.airbnb.com/rooms/sample_16664,Off-Peak
Sample Property 5427,5,6,4.0,11,240.27,246.73,3.73,35,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Tumalo State Park, Bend, OR",4.9,21.84,https://www.airbnb.com/rooms/sample_68313,Off-Peak
Sample Property 6060,1,1,1.0,3,151.84,81.91,4.49,103,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Seventh Mountain, Bend, OR",4.3,50.61,https://www.airbnb.com/rooms/sample_72685,Shoulder
Sample Property 1371,5,7,4.0,12,454.8,252.87,4.47,255,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Larkspur, Bend, OR",4.0,37.9,https://www.airbnb.com/rooms/sample_40223,Peak
Sample Property 8774,3,3,2.0,8,157.46,179.24,4.07,218,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Seventh Mountain, Bend, OR",4.3,19.68,https://www.airbnb.com/rooms/sample_62048,Off-Peak
Sample Property 4966,3,5,3.0,7,338.19,179.77,3.99,110,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Summit West, Bend, OR",4.9,48.31,https://www.airbnb.com/rooms/sample_69640,Peak
Sample Property 2644,5,7,5.0,12,359.22,253.46,3.89,166,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Larkspur, Bend, OR",4.7,29.94,https://www.airbnb.com/rooms/sample_6829,Shoulder
Sample Property 5039,3,3,3.0,6,275.91,173.5,3.69,297,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Seventh Mountain, Bend, OR",4.3,45.99,https://www.airbnb.com/rooms/sample_56397,Shoulder
Sample Property 2802,4,4,3.0,10,316.11,232.78,4.46,10,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Southwest Bend, Bend, OR",4.7,31.61,https://www.airbnb.com/rooms/sample_99246,Shoulder
Sample Property 4957,4,5,4.0,9,420.77,214.11,4.84,262,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Larkspur, Bend, OR",4.2,46.75,https://www.airbnb.com/rooms/sample_73370,Peak
Sample Property 9792,4,6,4.0,8,216.41,211.75,4.75,53,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Tumalo State Park, Bend, OR",4.4,27.05,https://www.airbnb.com/rooms/sample_79879,Off-Peak
Sample Property 1746,2,4,1.0,5,159.42,140.42,4.95,25,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Old Bend, Bend, OR",4.1,31.88,https://www.airbnb.com/rooms/sample_27406,Shoulder
Sample Property 1946,3,4,2.0,6,131.93,153.13,3.5,46,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Summit West, Bend, OR",4.4,21.99,https://www.airbnb.com/rooms/sample_11351,Off-Peak
Sample Property 2464,1,2,1.0,3,79.6,85.08,4.4,229,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Old Bend, Bend, OR",4.2,26.53,https://www.airbnb.com/rooms/sample_99516,Off-Peak
Sample Property 1919,2,2,1.0,6,99.61,127.39,4.7,243,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Seventh Mountain, Bend, OR",4.4,16.6,https://www.airbnb.com/rooms/sample_508,Off-Peak
Sample Property 5399,5,7,5.0,12,359.87,251.73,3.98,38,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Summit West, Bend, OR",4.8,29.99,https://www.airbnb.com/rooms/sample_71948,Shoulder
Sample Property 3646,4,5,3.0,8,269.15,221.78,3.99,69,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Southwest Bend, Bend, OR",4.5,33.64,https://www.airbnb.com/rooms/sample_76383,Shoulder
Sample Property 9462,5,6,5.0,11,236.5,245.97,4.42,171,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Old Bend, Bend, OR",4.5,21.5,https://www.airbnb.com/rooms/sample_98726,Off-Peak
Sample Property 7748,5,6,5.0,12,222.52,247.31,3.6,171,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Southwest Bend, Bend, OR",4.4,18.54,https://www.airbnb.com/rooms/sample_44117,Off-Peak
Sample Property 5524,3,5,2.0,8,254.56,189.35,4.73,214,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Larkspur, Bend, OR",4.2,31.82,https://www.airbnb.com/rooms/sample_77607,Shoulder
Sample Property 9220,2,4,2.0,4,203.62,123.65,4.08,5,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Summit West, Bend, OR",5.0,50.91,https://www.airbnb.com/rooms/sample_85059,Shoulder
Sample Property 6452,2,4,1.0,6,175.03,122.65,4.99,8,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Tumalo State Park, Bend, OR",4.0,29.17,https://www.airbnb.com/rooms/sample_67599,Shoulder
Sample Property 6831,2,2,1.0,4,248.24,112.67,3.94,11,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Tumalo State Park, Bend, OR",4.8,62.06,https://www.airbnb.com/rooms/sample_69454,Peak
Sample Property 2342,1,1,1.0,4,154.4,77.95,4.51,178,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Seventh Mountain, Bend, OR",4.4,38.6,https://www.airbnb.com/rooms/sample_78292,Shoulder
Sample Property 3653,4,4,3.0,9,205.58,210.57,4.24,196,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Old Bend, Bend, OR",4.8,22.84,https://www.airbnb.com/rooms/sample_85962,Off-Peak
Sample Property 4510,5,6,5.0,12,415.21,240.09,4.67,34,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Larkspur, Bend, OR",4.2,34.6,https://www.airbnb.com/rooms/sample_43241,Shoulder
Sample Property 9890,1,3,1.0,4,122.91,98.26,4.06,27,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Seventh Mountain, Bend, OR",5.0,30.73,https://www.airbnb.com/rooms/sample_5731,Shoulder
Sample Property 7671,2,4,2.0,5,133.15,130.06,4.45,172,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Tumalo State Park, Bend, OR",4.4,26.63,https://www.airbnb.com/rooms/sample_28757,Off-Peak
Sample Property 6014,1,1,1.0,3,131.04,110.68,4.38,76,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Southwest Bend, Bend, OR",4.7,43.68,https://www.airbnb.com/rooms/sample_96871,Shoulder
Sample Property 2073,3,3,2.0,7,231.52,168.4,3.56,133,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Summit West, Bend, OR",4.4,33.07,https://www.airbnb.com/rooms/sample_68117,Shoulder
Sample Property 9488,2,2,2.0,4,241.43,135.68,4.24,248,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Southwest Bend, Bend, OR",4.3,60.36,https://www.airbnb.com/rooms/sample_2882,Peak
Sample Property 8036,3,5,3.0,8,272.05,191.21,3.69,34,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Old Bend, Bend, OR",4.0,34.01,https://www.airbnb.com/rooms/sample_4604,Shoulder
Sample Property 8349,3,4,3.0,7,263.84,182.21,4.87,128,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Tumalo State Park, Bend, OR",4.2,37.69,https://www.airbnb.com/rooms/sample_47976,Shoulder
Sample Property 8016,2,3,2.0,4,116.22,131.43,3.62,38,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Tumalo State Park, Bend, OR",4.2,29.05,https://www.airbnb.com/rooms/sample_86972,Off-Peak
Sample Property 7297,4,4,4.0,10,306.74,217.85,4.9,271,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Southwest Bend, Bend, OR",4.7,30.67,https://www.airbnb.com/rooms/sample_3333,Shoulder
Sample Property 1066,4,6,3.0,10,370.53,220.07,3.57,255,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Sunriver, OR",4.2,37.05,https://www.airbnb.com/rooms/sample_11773,Peak
Sample Property 1198,2,2,1.0,4,245.64,122.09,3.97,59,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Larkspur, Bend, OR",4.9,61.41,https://www.airbnb.com/rooms/sample_44238,Peak
Sample Property 5588,2,4,2.0,6,251.1,120.97,4.51,12,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Southwest Bend, Bend, OR",4.7,41.85,https://www.airbnb.com/rooms/sample_77507,Peak
Sample Property 2490,2,4,1.0,6,219.97,115.82,4.29,143,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Seventh Mountain, Bend, OR",4.8,36.66,https://www.airbnb.com/rooms/sample_1516,Peak
Sample Property 2167,3,5,2.0,6,151.2,170.57,4.23,231,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Summit West, Bend, OR",4.6,25.2,https://www.airbnb.com/rooms/sample_88659,Off-Peak
Sample Property 4992,2,2,2.0,4,203.16,135.51,4.87,214,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Tumalo State Park, Bend, OR",4.1,50.79,https://www.airbnb.com/rooms/sample_64174,Shoulder
Sample Property 1687,3,4,3.0,8,169.71,168.7,3.99,183,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Seventh Mountain, Bend, OR",4.9,21.21,https://www.airbnb.com/rooms/sample_98016,Off-Peak
Sample Property 1378,3,5,3.0,6,356.91,181.51,4.46,236,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Old Bend, Bend, OR",4.5,59.49,https://www.airbnb.com/rooms/sample_31974,Peak
Sample Property 6603,4,6,4.0,10,183.11,212.12,4.37,186,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Summit West, Bend, OR",5.0,18.31,https://www.airbnb.com/rooms/sample_33140,Off-Peak
Sample Property 6969,3,4,3.0,6,246.35,162.09,4.11,205,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Tumalo State Park, Bend, OR",4.7,41.06,https://www.airbnb.com/rooms/sample_43255,Shoulder
Sample Property 2907,3,4,3.0,6,159.51,183.52,4.32,0,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Old Bend, Bend, OR",4.5,26.58,https://www.airbnb.com/rooms/sample_23650,Off-Peak
Sample Property 3061,2,3,2.0,4,190.61,120.14,4.97,208,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Southwest Bend, Bend, OR",4.5,47.65,https://www.airbnb.com/rooms/sample_15805,Shoulder
Sample Property 9633,5,6,5.0,10,233.15,254.03,3.57,131,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Sunriver, OR",5.0,23.32,https://www.airbnb.com/rooms/sample_88389,Off-Peak
Sample Property 8893,5,7,5.0,10,513.91,278.84,4.61,156,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Old Bend, Bend, OR",4.7,51.39,https://www.airbnb.com/rooms/sample_23489,Peak
Sample Property 2128,1,1,1.0,2,163.58,75.26,4.62,187,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Sunriver, OR",4.1,81.79,https://www.airbnb.com/rooms/sample_4568,Shoulder
Sample Property 5284,1,1,1.0,3,197.4,101.15,4.26,78,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Seventh Mountain, Bend, OR",4.0,65.8,https://www.airbnb.com/rooms/sample_41786,Peak
Sample Property 1192,4,6,4.0,9,298.74,218.23,4.83,51,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Sunriver, OR",4.5,33.19,https://www.airbnb.com/rooms/sample_62895,Shoulder
